其他电子II [['300475.XSHE', '香农芯创', 767.0615], ['002130.XSHE', '沃尔核材', 352.3936], ['000062.XSHE', '深圳华强', 263.4646], ['301275.XSHE', '汉朔科技', 247.3574], ['300131.XSHE', '英唐智控', 179.2196]]
通信设备II [['300308.XSHE', '中际旭创', 6480.0421], ['300502.XSHE', '新易盛', 3958.3439], ['000063.XSHE', '中兴通讯', 1924.4161], ['300394.XSHE', '天孚通信', 1547.0576], ['601869.XSHG', '长飞光纤', 927.5021]]
计算机设备II [['002415.XSHE', '海康威视', 2773.2901], ['603019.XSHG', '中科曙光', 1365.6723], ['000977.XSHE', '浪潮信息', 1011.7804], ['002236.XSHE', '大华股份', 646.8335], ['000066.XSHE', '中国长城', 487.4182]]
航运港口II [['601919.XSHG', '中远海控', 2307.9925], ['600018.XSHG', '上港集团', 1273.4138], ['601872.XSHG', '招商轮船', 793.7271], ['601018.XSHG', '宁波港', 715.9215], ['600026.XSHG', '中远海能', 694.6296]]
航空机场II [['601111.XSHG', '中国国航', 1566.8682], ['600029.XSHG', '南方航空', 1444.2375], ['600115.XSHG', '中国东航', 1320.8467], ['600009.XSHG', '上海机场', 813.4295], ['600221.XSHG', '海航控股', 747.6304]]
贸易II [['601061.XSHG', '中信金属', 749.21], ['002091.XSHE', '江苏国泰', 147.3082], ['600710.XSHG', '苏美达', 144.1345], ['002183.XSHE', '怡亚通', 132.7072], ['600058.XSHG', '五矿发展', 123.4841]]
化学制药II [['688235.XSHG', '百济神州', 4822.1675], ['600276.XSHG', '恒瑞医药', 4233.2061], ['688506.XSHG', '百利天恒', 1419.8731], ['600196.XSHG', '复星医药', 738.3737], ['000963.XSHE', '华东医药', 695.1185]]
电视广播II [['600637.XSHG', '东方明珠', 447.8051], ['600959.XSHG', '江苏有线', 183.0263], ['000917.XSHE', '电广传媒', 170.9573], ['000156.XSHE', '华数传媒', 153.9787], ['601929.XSHG', '吉视传媒', 138.1956]]
工程机械II [['600031.XSHG', '三一重工', 2048.647], ['601100.XSHG', '恒立液压', 1544.6258], ['000425.XSHE', '徐工机械', 1386.8508], ['000157.XSHE', '中联重科', 741.1795], ['603298.XSHG', '杭叉集团', 362.29400000000004]]
光伏设备II [['300274.XSHE', '阳光电源', 3504.7639], ['601012.XSHG', '隆基绿能', 1393.606], ['600438.XSHG', '通威股份', 937.7645], ['605117.XSHG', '德业股份', 790.555], ['688223.XSHG', '晶科能源', 618.3216]]
证券II [['600030.XSHG', '中信证券', 4234.2302], ['300059.XSHE', '东方财富', 3813.5143], ['601211.XSHG', '国泰海通', 3714.4147], ['601688.XSHG', '华泰证券', 2161.9339], ['601066.XSHG', '中信建投', 2028.3757]]
电网设备II [['600406.XSHG', '国电南瑞', 1901.9199], ['600089.XSHG', '特变电工', 1260.1665], ['002028.XSHE', '思源电气', 1246.224], ['601877.XSHG', '正泰电器', 635.4501], ['601179.XSHG', '中国西电', 556.6708]]
水泥制造II [['600585.XSHG', '海螺水泥', 1206.1213], ['600801.XSHG', '华新建材', 511.0171], ['000877.XSHE', '天山股份', 388.9439], ['601992.XSHG', '金隅集团', 187.9288], ['600326.XSHG', '西藏天路', 153.8222]]
生物制品II [['603392.XSHG', '万泰生物', 591.4830000000001], ['688331.XSHG', '荣昌生物', 546.5735], ['300122.XSHE', '智飞生物', 473.9704], ['002252.XSHE', '上海莱士', 429.4776], ['603087.XSHG', '甘李药业', 424.0865]]
家电零部件II [['002050.XSHE', '三花智控', 2404.4592], ['600619.XSHG', '海立股份', 235.0624], ['300342.XSHE', '天银机电', 167.0388], ['002011.XSHE', '盾安环境', 139.708], ['002290.XSHE', '禾盛新材', 127.23200000000001]]
燃气II [['600803.XSHG', '新奥股份', 616.6301], ['605090.XSHG', '九丰能源', 328.4312], ['600635.XSHG', '大众公用', 208.4419], ['601139.XSHG', '深圳燃气', 191.0157], ['001331.XSHE', '胜通能源', 165.2515]]
能源金属II [['603799.XSHG', '华友钴业', 1440.5645], ['002460.XSHE', '赣锋锂业', 1371.0285], ['000408.XSHE', '藏格矿业', 1369.3939], ['002466.XSHE', '天齐锂业', 962.2326], ['600711.XSHG', '盛屯矿业', 516.1321]]
多元金融II [['000617.XSHE', '中油资本', 1237.6595], ['000958.XSHE', '电投产融', 1163.9996], ['000987.XSHE', '越秀资本', 508.2355], ['600901.XSHG', '江苏金租', 364.8876], ['600517.XSHG', '国网英大', 362.5488]]
化学纤维II [['002064.XSHE', '华峰化学', 595.5053], ['603225.XSHG', '新凤鸣', 303.6915], ['688295.XSHG', '中复神鹰', 295.47], ['001369.XSHE', '双欣环保', 174.6881], ['603406.XSHG', '天富龙', 161.084]]
农化制品II [['000792.XSHE', '盐湖股份', 1655.2039], ['600426.XSHG', '华鲁恒升', 706.183], ['600096.XSHG', '云天化', 630.7548], ['000893.XSHE', '亚钾国际', 470.3421], ['600141.XSHG', '兴发集团', 413.2804]]
中药II [['600436.XSHG', '片仔癀', 1037.7659], ['000538.XSHE', '云南白药', 1022.7393], ['000999.XSHE', '华润三九', 484.2874], ['600085.XSHG', '同仁堂', 444.905], ['600332.XSHG', '白云山', 411.6503]]
酒店餐饮II [['600754.XSHG', '锦江酒店', 273.7188], ['600258.XSHG', '首旅酒店', 190.0459], ['301073.XSHE', '君亭酒店', 56.8186], ['000721.XSHE', '西安饮食', 52.5132], ['605108.XSHG', '同庆楼', 50.882]]
铁路公路II [['601816.XSHG', '京沪高铁', 2500.1022], ['601006.XSHG', '大秦铁路', 1033.5502], ['001965.XSHE', '招商公路', 665.9193], ['600377.XSHG', '宁沪高速', 589.9202], ['600350.XSHG', '山东高速', 459.7677]]
旅游及景区II [['300144.XSHE', '宋城演艺', 218.3734], ['603099.XSHG', '长白山', 123.0231], ['000796.XSHE', '凯撒旅业', 106.0104], ['603402.XSHG', '陕西旅游', 100.3709], ['600054.XSHG', '黄山旅游', 83.441]]
造纸II [['002078.XSHE', '太阳纸业', 438.74199999999996], ['603733.XSHG', '仙鹤股份', 173.5339], ['600567.XSHG', '山鹰国际', 107.2267], ['600103.XSHG', '青山纸业', 95.0111], ['600966.XSHG', '博汇纸业', 87.4296]]
